{'method': 'CDAN+E', 'gpu': '0', 'num_iterations': 10000, 'test_interval': 200, 'snapshot_interval': 2000, 'output_for_test': True, 'output_path': 'snapshot/san', 'out_file': <_io.TextIOWrapper name='snapshot/san/log.txt' mode='w' encoding='UTF-8'>, 'prep': {'test_10crop': False, 'params': {'resize_size': 256, 'crop_size': 224, 'alexnet': False}}, 'loss': {'trade_off': 1.0, 'random': False, 'random_dim': 1024}, 'network': {'name': <class 'network.ResNetFc'>, 'params': {'resnet_name': 'ResNet50', 'use_bottleneck': True, 'bottleneck_dim': 256, 'new_cls': True, 'class_num': 87}}, 'optimizer': {'type': <class 'torch.optim.sgd.SGD'>, 'optim_params': {'lr': 0.001, 'momentum': 0.9, 'weight_decay': 0.0005, 'nesterov': True}, 'lr_type': 'inv', 'lr_param': {'lr': 0.0001, 'gamma': 0.001, 'power': 0.75}}, 'dataset': 'office', 'data': {'source': {'list_path': '/home/adarsh/project/CDAN/pytorch/sketchy.txt', 'batch_size': 32}, 'target': {'list_path': '/home/adarsh/project/CDAN/pytorch/quick_draw_train.txt', 'batch_size': 32}, 'test': {'list_path': '/home/adarsh/project/CDAN/pytorch/quick_draw_val.txt', 'batch_size': 32}}}iter: 00199, precision: 0.03020
iter: 00399, precision: 0.06311
iter: 00599, precision: 0.09669
iter: 00799, precision: 0.12328
iter: 00999, precision: 0.15010
iter: 01199, precision: 0.16205
iter: 01399, precision: 0.18301
iter: 01599, precision: 0.19405
iter: 01799, precision: 0.20374
iter: 01999, precision: 0.20892
iter: 02199, precision: 0.22177
iter: 02399, precision: 0.22876
iter: 02599, precision: 0.22493
iter: 02799, precision: 0.23327
iter: 02999, precision: 0.24296
iter: 03199, precision: 0.25220
iter: 03399, precision: 0.26392
iter: 03599, precision: 0.25197
iter: 03799, precision: 0.26031
iter: 03999, precision: 0.26414
iter: 04199, precision: 0.27000
iter: 04399, precision: 0.26617
iter: 04599, precision: 0.28240
iter: 04799, precision: 0.27992
iter: 04999, precision: 0.28803
iter: 05199, precision: 0.27203
iter: 05399, precision: 0.28217
iter: 05599, precision: 0.29412
iter: 05799, precision: 0.29637
iter: 05999, precision: 0.28848
iter: 06199, precision: 0.30110
iter: 06399, precision: 0.29344
iter: 06599, precision: 0.30741
iter: 06799, precision: 0.29434
iter: 06999, precision: 0.30246
iter: 07199, precision: 0.31080
iter: 07399, precision: 0.30471
iter: 07599, precision: 0.30606
iter: 07799, precision: 0.31508
iter: 07999, precision: 0.32545
iter: 08199, precision: 0.31620
iter: 08399, precision: 0.31846
iter: 08599, precision: 0.32815
iter: 08799, precision: 0.31170
iter: 08999, precision: 0.32184
iter: 09199, precision: 0.32860
iter: 09399, precision: 0.32139
iter: 09599, precision: 0.32454
iter: 09799, precision: 0.32567
iter: 09999, precision: 0.32702
