{'method': 'CDAN+E', 'gpu': '0', 'num_iterations': 50000, 'test_interval': 200, 'snapshot_interval': 2000, 'output_for_test': True, 'output_path': 'snapshot/san', 'out_file': <_io.TextIOWrapper name='snapshot/san/log.txt' mode='w' encoding='UTF-8'>, 'prep': {'test_10crop': False, 'params': {'resize_size': 256, 'crop_size': 224, 'alexnet': False}}, 'loss': {'trade_off': 1.0, 'random': False, 'random_dim': 1024}, 'network': {'name': <class 'network.ResNetFc'>, 'params': {'resnet_name': 'ResNet50', 'use_bottleneck': True, 'bottleneck_dim': 256, 'new_cls': True, 'class_num': 87}}, 'optimizer': {'type': <class 'torch.optim.sgd.SGD'>, 'optim_params': {'lr': 0.001, 'momentum': 0.9, 'weight_decay': 0.0005, 'nesterov': True}, 'lr_type': 'inv', 'lr_param': {'lr': 0.0001, 'gamma': 0.001, 'power': 0.75}}, 'dataset': 'office', 'data': {'source': {'list_path': '/home/adarsh/project/CDAN/pytorch/sketchy_train.txt', 'batch_size': 32}, 'target': {'list_path': '/home/adarsh/project/CDAN/pytorch/quick_draw_train.txt', 'batch_size': 32}, 'test': {'list_path': '/home/adarsh/project/CDAN/pytorch/quick_draw_val.txt', 'batch_size': 32}, 'source_test': {'list_path': '/home/adarsh/project/CDAN/pytorch/sketchy_val.txt', 'batch_size': 32}}}iter: 00199, precision: 0.03448
iter: 00399, precision: 0.06874
iter: 00599, precision: 0.10931
iter: 00799, precision: 0.14469
iter: 00999, precision: 0.16475
iter: 01199, precision: 0.17241
iter: 01399, precision: 0.19360
iter: 01599, precision: 0.19563
iter: 01799, precision: 0.20509
iter: 01999, precision: 0.20892
iter: 02199, precision: 0.21952
iter: 02399, precision: 0.22943
iter: 02599, precision: 0.22696
iter: 02799, precision: 0.24070
iter: 02999, precision: 0.25670
iter: 03199, precision: 0.25941
iter: 03399, precision: 0.25603
iter: 03599, precision: 0.25806
iter: 03799, precision: 0.25625
iter: 03999, precision: 0.26347
iter: 04199, precision: 0.26572
iter: 04399, precision: 0.27361
iter: 04599, precision: 0.27023
iter: 04799, precision: 0.28150
iter: 04999, precision: 0.27789
iter: 05199, precision: 0.28803
iter: 05399, precision: 0.28172
iter: 05599, precision: 0.29051
iter: 05799, precision: 0.28938
iter: 05999, precision: 0.29885
iter: 06199, precision: 0.29840
iter: 06399, precision: 0.30313
iter: 06599, precision: 0.30584
iter: 06799, precision: 0.30223
iter: 06999, precision: 0.29277
iter: 07199, precision: 0.30178
iter: 07399, precision: 0.31237
iter: 07599, precision: 0.30629
iter: 07799, precision: 0.31530
iter: 07999, precision: 0.32184
iter: 08199, precision: 0.32319
iter: 08399, precision: 0.31575
iter: 08599, precision: 0.31733
iter: 08799, precision: 0.31823
iter: 08999, precision: 0.32545
iter: 09199, precision: 0.31891
iter: 09399, precision: 0.32409
iter: 09599, precision: 0.32567
iter: 09799, precision: 0.32387
iter: 09999, precision: 0.32590
iter: 10199, precision: 0.32928
iter: 10399, precision: 0.32342
iter: 10599, precision: 0.33085
iter: 10799, precision: 0.33626
iter: 10999, precision: 0.32680
iter: 11199, precision: 0.32725
iter: 11399, precision: 0.33514
iter: 11599, precision: 0.33333
iter: 11799, precision: 0.33085
iter: 11999, precision: 0.33378
iter: 12199, precision: 0.33964
iter: 12399, precision: 0.33784
iter: 12599, precision: 0.34866
iter: 12799, precision: 0.33987
iter: 12999, precision: 0.33604
iter: 13199, precision: 0.34370
iter: 13399, precision: 0.33784
iter: 13599, precision: 0.34077
iter: 13799, precision: 0.34708
iter: 13999, precision: 0.34415
iter: 14199, precision: 0.34235
iter: 14399, precision: 0.34145
iter: 14599, precision: 0.34055
iter: 14799, precision: 0.33626
iter: 14999, precision: 0.34618
iter: 15199, precision: 0.34505
iter: 15399, precision: 0.34595
iter: 15599, precision: 0.35069
iter: 15799, precision: 0.34032
iter: 15999, precision: 0.35159
iter: 16199, precision: 0.35542
iter: 16399, precision: 0.35227
iter: 16599, precision: 0.34708
iter: 16799, precision: 0.34821
iter: 16999, precision: 0.35249
iter: 17199, precision: 0.34686
iter: 17399, precision: 0.35587
iter: 17599, precision: 0.34821
iter: 17799, precision: 0.35429
iter: 17999, precision: 0.35542
iter: 18199, precision: 0.35632
iter: 18399, precision: 0.35452
iter: 18599, precision: 0.34979
iter: 18799, precision: 0.35452
iter: 18999, precision: 0.34776
iter: 19199, precision: 0.35970
iter: 19399, precision: 0.35722
iter: 19599, precision: 0.36151
iter: 19799, precision: 0.36241
iter: 19999, precision: 0.36218
iter: 20199, precision: 0.35632
iter: 20399, precision: 0.36151
iter: 20599, precision: 0.35655
iter: 20799, precision: 0.34641
iter: 20999, precision: 0.36398
iter: 21199, precision: 0.36353
iter: 21399, precision: 0.35632
iter: 21599, precision: 0.36353
iter: 21799, precision: 0.36015
iter: 21999, precision: 0.35790
iter: 22199, precision: 0.36534
iter: 22399, precision: 0.36398
iter: 22599, precision: 0.36917
iter: 22799, precision: 0.36556
iter: 22999, precision: 0.36060
iter: 23199, precision: 0.36466
iter: 23399, precision: 0.36444
iter: 23599, precision: 0.36421
iter: 23799, precision: 0.35339
iter: 23999, precision: 0.36759
iter: 24199, precision: 0.36737
iter: 24399, precision: 0.36331
iter: 24599, precision: 0.36534
iter: 24799, precision: 0.37097
iter: 24999, precision: 0.36511
iter: 25199, precision: 0.36691
iter: 25399, precision: 0.37030
iter: 25599, precision: 0.37165
iter: 25799, precision: 0.36398
iter: 25999, precision: 0.36984
iter: 26199, precision: 0.36646
iter: 26399, precision: 0.36308
iter: 26599, precision: 0.36489
iter: 26799, precision: 0.36759
iter: 26999, precision: 0.36444
iter: 27199, precision: 0.36444
iter: 27399, precision: 0.36962
iter: 27599, precision: 0.37210
iter: 27799, precision: 0.36827
iter: 27999, precision: 0.36421
iter: 28199, precision: 0.37300
iter: 28399, precision: 0.36737
iter: 28599, precision: 0.36962
iter: 28799, precision: 0.37300
iter: 28999, precision: 0.36782
iter: 29199, precision: 0.37232
iter: 29399, precision: 0.37390
iter: 29599, precision: 0.36849
iter: 29799, precision: 0.37255
iter: 29999, precision: 0.37818
iter: 30199, precision: 0.37052
iter: 30399, precision: 0.37210
iter: 30599, precision: 0.36962
iter: 30799, precision: 0.37773
iter: 30999, precision: 0.37232
iter: 31199, precision: 0.37413
iter: 31399, precision: 0.37210
iter: 31599, precision: 0.37345
iter: 31799, precision: 0.37435
iter: 31999, precision: 0.37525
iter: 32199, precision: 0.37480
iter: 32399, precision: 0.37525
iter: 32599, precision: 0.37323
iter: 32799, precision: 0.37863
iter: 32999, precision: 0.37570
